split,file_name,class_id,class_name,bbox_width_norm,bbox_height_norm,bbox_area_norm,bbox_width_px,bbox_height_px,bbox_area_px,image_width,image_height
train,1.png,3,Wheel Support,0.097877,0.251308,0.024597273116,107.17531500000001,158.82665599999999,17022.29688719664,1095,632
train,1.png,3,Wheel Support,0.129717,0.286042,0.037104510114000004,142.040115,180.778544,25677.805179292558,1095,632
train,12.png,7,Nut,0.041632,0.066087,0.0027513339840000003,43.130752,51.217425000000006,2209.0460557536003,1036,775
train,12.png,3,Wheel Support,0.178236,0.313043,0.055795532148,184.652496,242.608325,44798.2327616292,1036,775
train,12.png,3,Wheel Support,0.148313,0.274783,0.040753891079,153.652268,212.956825,32721.2991473291,1036,775
train,12.png,7,Nut,0.032525,0.041739,0.0013575609749999999,33.6959,32.347725,1089.9857068275,1036,775
train,12.png,7,Nut,0.023418,0.045217,0.0010588917060000002,24.261048000000002,35.043175,850.1841507474,1036,775
train,12.png,7,Nut,0.040331,0.041739,0.001683375609,41.782916,32.347725,1351.5822764661,1036,775
train,12.png,3,Wheel Support,0.132701,0.248696,0.033002207896,137.478236,192.7394,26497.4727196984,1036,775
train,13.png,7,Nut,0.040094,0.086519,0.003468892786,51.600978,72.848998,3759.0795431200436,1287,842
train,13.png,7,Nut,0.034198,0.050281,0.001719509638,44.012826,42.336602,1863.3534972572518,1287,842
train,14.png,7,Nut,0.053066,0.070321,0.0037316541859999997,64.47519,57.311614999999996,3695.1772663318498,1215,815
train,15.png,7,Nut,0.055425,0.085869,0.004759289325,75.48885,70.670187,5334.8111459149495,1362,823
train,15.png,7,Nut,0.034198,0.048789,0.001668486222,46.577676,40.153347,1870.2495868815718,1362,823
train,16.png,7,Nut,0.024764,0.051033,0.001263781212,35.065824,41.744994,1463.822612485056,1416,818
train,16.png,7,Nut,0.028302,0.065323,0.0018487715460000001,40.075632,53.434214000000004,2141.409896473248,1416,818
train,16.png,10,Washer,0.018868,0.057157,0.001078438276,26.717088,46.754426,1249.1421138314881,1416,818
train,17.png,7,Nut,0.025067,0.04,0.00100268,28.626514,32.92,942.3848408800001,1142,823
train,17.png,10,Washer,0.0376,0.048696,0.0018309696000000002,42.9392,40.076808,1720.8660740736,1142,823
train,17.png,10,Washer,0.043867,0.064348,0.0028227537160000005,50.09611400000001,52.958404,2653.0102440420565,1142,823
train,17.png,10,Washer,0.027573,0.043478,0.001198818894,31.488366,35.782394000000004,1126.729118628204,1142,823
train,18.png,7,Nut,0.036779,0.055652,0.002046824908,36.852558,45.35638,1671.4986246200401,1002,815
train,2.png,3,Wheel Support,0.162736,0.225988,0.036776383168,231.8988,196.60956,45593.521032528,1425,870
train,2.png,3,Wheel Support,0.091981,0.26655,0.02451753555,131.072925,231.8985,30395.614698112502,1425,870
train,2.png,3,Wheel Support,0.159198,0.208604,0.033209339592,226.85715000000002,181.48548000000002,41171.27875918201,1425,870
