split,image_id,file_name,width,height,objects_in_image
train,1,1.png,1095,632,2
train,2,12.png,1036,775,7
train,3,13.png,1287,842,2
train,4,14.png,1215,815,1
train,5,15.png,1362,823,2
train,6,16.png,1416,818,3
train,7,17.png,1142,823,4
train,8,18.png,1002,815,1
train,9,2.png,1425,870,5
train,10,21.png,1111,816,5
train,11,22.png,1167,842,3
train,12,23.png,1187,787,5
train,13,24.png,1097,826,5
train,14,25.png,1356,752,5
train,15,26.png,1450,832,3
train,16,27.png,1307,805,10
train,17,28.png,1325,835,3
train,18,29.png,1390,800,2
train,19,31.png,1406,818,4
train,20,32.png,1382,836,1
train,21,33.png,1397,806,1
train,22,34.png,1190,818,1
train,23,4.png,1385,885,2
train,24,5.png,1392,965,4
train,25,6.png,1332,865,1
train,26,7.png,1207,800,4
train,27,8.png,943,767,4
train,28,9.png,982,710,4
train,29,frame_0001_3.128.jpg,1600,1200,1
train,30,frame_0002_3.480.jpg,1600,1200,1
train,31,frame_0004_4.405.jpg,1600,1200,1
train,32,frame_0005_4.479.jpg,1600,1200,1
train,33,frame_0006_5.290.jpg,1600,1200,1
train,34,frame_0007_5.646.jpg,1600,1200,3
train,35,frame_0009_5.748.jpg,1600,1200,2
train,36,frame_0010_6.167.jpg,1600,1200,1
train,37,frame_0011_6.180.jpg,1600,1200,1
train,38,frame_0012_6.205.jpg,1600,1200,1
train,39,frame_0013_7.009.jpg,1600,1200,3
train,40,frame_0014_7.520.jpg,1600,1200,2
train,41,frame_0016_7.966.jpg,1600,1200,1
train,42,frame_0017_8.264.jpg,1600,1200,1
train,43,frame_0018_8.437.jpg,1600,1200,1
train,44,frame_0021_8.915.jpg,1600,1200,1
train,45,frame_0024_10.129.jpg,1600,1200,1
train,46,frame_0026_10.329.jpg,1600,1200,1
train,47,frame_0029_11.227.jpg,1600,1200,1
train,48,frame_0030_11.266.jpg,1600,1200,1
train,49,frame_0031_11.300.jpg,1600,1200,1
train,50,frame_0034_11.826.jpg,1600,1200,1
train,51,frame_0036_12.101.jpg,1600,1200,1
train,52,frame_0037_12.339.jpg,1600,1200,2
train,53,frame_0039_12.911.jpg,1600,1200,1
train,54,frame_0040_13.317.jpg,1600,1200,1
train,55,frame_0041_13.868.jpg,1600,1200,12
train,56,frame_0043_14.980.jpg,1600,1200,3
train,57,frame_0044_15.059.jpg,1600,1200,1
train,58,frame_0045_15.953.jpg,1600,1200,2
train,59,frame_0048_16.622.jpg,1600,1200,1
train,60,frame_0050_17.404.jpg,1600,1200,1
train,61,frame_0051_17.719.jpg,1600,1200,6
train,62,frame_0052_18.046.jpg,1600,1200,2
train,63,frame_0053_18.200.jpg,1600,1200,1
train,64,frame_0055_18.542.jpg,1600,1200,1
train,65,frame_0056_18.916.jpg,1600,1200,3
train,66,frame_0059_19.774.jpg,1600,1200,2
train,67,frame_0061_20.013.jpg,1600,1200,1
train,68,frame_0062_20.071.jpg,1600,1200,6
train,69,frame_0063_20.192.jpg,1600,1200,2
train,70,frame_0065_20.820.jpg,1600,1200,2
train,71,frame_0066_21.024.jpg,1600,1200,1
train,72,frame_0067_21.157.jpg,1600,1200,1
train,73,frame_0068_21.690.jpg,1600,1200,3
train,74,frame_0069_21.714.jpg,1600,1200,2
train,75,frame_0071_21.969.jpg,1600,1200,1
train,76,frame_0072_22.018.jpg,1600,1200,1
train,77,frame_0073_22.050.jpg,1600,1200,1
train,78,frame_0077_23.045.jpg,1600,1200,1
train,79,frame_0078_23.184.jpg,1600,1200,1
train,80,frame_0080_23.253.jpg,1600,1200,1
train,81,frame_0081_23.703.jpg,1600,1200,1
train,82,frame_0082_24.173.jpg,1600,1200,1
train,83,frame_0083_24.265.jpg,1600,1200,2
train,84,frame_0084_25.109.jpg,1600,1200,4
train,85,frame_0086_25.757.jpg,1600,1200,1
train,86,frame_0087_25.995.jpg,1600,1200,4
train,87,frame_0089_26.003.jpg,1600,1200,2
train,88,frame_0090_26.021.jpg,1600,1200,1
train,89,frame_0091_26.503.jpg,1600,1200,1
train,90,frame_0092_26.521.jpg,1600,1200,1
train,91,frame_0093_26.535.jpg,1600,1200,1
train,92,frame_0094_26.618.jpg,1600,1200,1
train,93,frame_0095_26.740.jpg,1600,1200,5
train,94,frame_0096_26.790.jpg,1600,1200,1
train,95,frame_0097_26.902.jpg,1600,1200,1
train,96,frame_0101_27.213.jpg,1600,1200,3
train,97,frame_0102_27.304.jpg,1600,1200,1
train,98,frame_0103_27.601.jpg,1600,1200,1
train,99,frame_0104_27.687.jpg,1600,1200,1
