class_id,class_name,TP,FP,FN,Precision@0.5,Recall@0.5,AP50,AP50_95,AR50_95
0,Bolt,13,3,14,0.8125,0.48148148148148145,0.5773202943287985,0.3146671139405077,0.4407407407407408
1,Frame,27,6,9,0.8181818181818182,0.75,0.8099087902034515,0.6729952242626183,0.7722222222222223
2,Wheel,51,26,26,0.6623376623376623,0.6623376623376623,0.7221431842085718,0.48309096265383217,0.6207792207792209
3,Wheel Support,95,53,34,0.6418918918918919,0.7364341085271318,0.739882235657899,0.4811042474402098,0.6503875968992249
4,Wrench,21,11,4,0.65625,0.84,0.8779021719023813,0.5939921128014947,0.732
5,Box,47,32,16,0.5949367088607594,0.746031746031746,0.6901013623695798,0.46234499588026406,0.6873015873015873
6,Flange,15,12,17,0.5555555555555556,0.46875,0.6215601475330883,0.37130481530874254,0.584375
7,Nut,43,49,55,0.4673913043478261,0.4387755102040816,0.46501299784994005,0.22486521475353255,0.5
8,Support,6,1,0,0.8571428571428571,1.0,1.0,0.8286138613861386,0.8666666666666666
9,Table,2,0,5,1.0,0.2857142857142857,0.5247524752475248,0.22861857614332862,0.34285714285714286
10,Washer,10,0,12,1.0,0.45454545454545453,0.6081927827813967,0.33448142746186676,0.44090909090909103
