class_id,class_name,TP,FP,FN,Precision@0.5,Recall@0.5,AP50,AP50_95,AR50_95
0,Bolt,16,7,11,0.6956521739130435,0.5925925925925926,0.5739057820722093,0.2999962756174967,0.4037037037037036
1,Frame,27,6,9,0.8181818181818182,0.75,0.8005082109327759,0.7026238269660218,0.8
2,Wheel,55,27,22,0.6707317073170732,0.7142857142857143,0.7453326544747949,0.5122507635904713,0.6090909090909091
3,Wheel Support,90,46,39,0.6617647058823529,0.6976744186046512,0.735741886458099,0.49039817074855047,0.6356589147286822
4,Wrench,21,10,4,0.6774193548387096,0.84,0.854243402487959,0.615901508309103,0.768
5,Box,44,24,19,0.6470588235294118,0.6984126984126984,0.6811548999278515,0.45760725901052646,0.7031746031746031
6,Flange,22,13,10,0.6285714285714286,0.6875,0.6879165503646567,0.4144118095965268,0.578125
7,Nut,51,66,47,0.4358974358974359,0.5204081632653061,0.4676367651533195,0.21908972991393744,0.46632653061224494
8,Support,6,0,0,1.0,1.0,1.0,0.7521782178217822,0.7666666666666667
9,Table,2,2,5,0.5,0.2857142857142857,0.5525223950966525,0.19914662894860913,0.2857142857142857
10,Washer,12,5,10,0.7058823529411765,0.5454545454545454,0.6257952726164742,0.3405777580937594,0.47272727272727283
