epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,496.203,1.52284,3.76587,1.584,0.01246,0.66839,0.1971,0.12236,1.34952,4.03935,1.34318,0.0002175,0.0002175,0.0002175
2,1034.77,1.36254,2.68745,1.45363,0.85077,0.14667,0.2852,0.17792,1.48645,3.61932,1.52939,0.000431125,0.000431125,0.000431125
3,1577.17,1.32649,2.2312,1.42425,0.51985,0.39486,0.43828,0.28952,1.43898,2.7414,1.47521,0.000635945,0.000635945,0.000635945
4,2098.63,1.34967,2.14764,1.41891,0.57474,0.53528,0.5772,0.35253,1.48589,2.47697,1.51502,0.00062738,0.00062738,0.00062738
5,2596.01,1.32611,1.97656,1.41295,0.5582,0.36674,0.40438,0.24607,1.42813,2.46579,1.46911,0.000614174,0.000614174,0.000614174
6,3116.35,1.30972,1.78752,1.36804,0.77438,0.49308,0.60074,0.36394,1.43294,2.09745,1.42631,0.000600967,0.000600967,0.000600967
7,3624.33,1.2662,1.76423,1.34906,0.77482,0.48028,0.60955,0.38664,1.3596,1.98371,1.38132,0.00058776,0.00058776,0.00058776
8,4148.48,1.26987,1.65751,1.37062,0.5826,0.62414,0.60337,0.39323,1.40676,1.96272,1.45102,0.000574554,0.000574554,0.000574554
9,4772.74,1.25141,1.55083,1.33242,0.66485,0.59555,0.65539,0.43537,1.35085,1.81941,1.40997,0.000561347,0.000561347,0.000561347
10,5317.76,1.21696,1.49024,1.31965,0.66619,0.5701,0.63379,0.39329,1.38082,1.76317,1.41906,0.000548141,0.000548141,0.000548141
11,5804.38,1.19579,1.48811,1.31517,0.78201,0.53385,0.61412,0.40643,1.37052,1.83456,1.38411,0.000534934,0.000534934,0.000534934
12,6318.29,1.18191,1.43516,1.29709,0.6935,0.6137,0.69834,0.44699,1.3808,1.61593,1.40324,0.000521727,0.000521727,0.000521727
13,6928.73,1.19033,1.32684,1.2723,0.66458,0.65094,0.68637,0.46793,1.33048,1.62697,1.35972,0.000508521,0.000508521,0.000508521
14,7560.41,1.16437,1.324,1.27012,0.72879,0.61712,0.69013,0.46248,1.36398,1.54592,1.36738,0.000495314,0.000495314,0.000495314
15,8167.18,1.14021,1.28631,1.25155,0.77843,0.60824,0.71562,0.48303,1.33909,1.49685,1.35022,0.000482108,0.000482108,0.000482108
16,8837.64,1.13572,1.22446,1.25275,0.74299,0.60831,0.70526,0.48714,1.29557,1.52858,1.3326,0.000468901,0.000468901,0.000468901
17,9472.5,1.12667,1.21522,1.23374,0.73921,0.6805,0.71261,0.48299,1.35954,1.43636,1.37138,0.000455694,0.000455694,0.000455694
18,10078.7,1.13299,1.19514,1.26579,0.70709,0.67466,0.72914,0.49422,1.32726,1.4183,1.33546,0.000442488,0.000442488,0.000442488
19,10694.3,1.1058,1.15525,1.23415,0.76363,0.65381,0.71181,0.48404,1.3644,1.40789,1.37174,0.000429281,0.000429281,0.000429281
20,11325,1.09347,1.12157,1.22737,0.68509,0.67062,0.69624,0.48243,1.32437,1.41852,1.33291,0.000416075,0.000416075,0.000416075
21,11928,1.08476,1.07862,1.21983,0.63247,0.70904,0.72823,0.49035,1.3142,1.3253,1.31474,0.000402868,0.000402868,0.000402868
22,12520.5,1.1031,1.07868,1.21897,0.81127,0.60417,0.7367,0.51723,1.29062,1.31144,1.2976,0.000389661,0.000389661,0.000389661
23,13062.2,1.06423,1.04467,1.22269,0.66345,0.72386,0.72235,0.48777,1.32032,1.34237,1.32851,0.000376455,0.000376455,0.000376455
